partnership,ghgrp_id,frs_id,primary_naics,oris,longitude_wgs84,latitude_wgs84,source_name,operator,address,city,state_prov_name,state_prov_abbrv,state_location,source_type,source_type_common,epa_ind_subpart,epa_sector,fuel,co2_tonne,co2_bio,year,data_source,comments,featid
PCOR,,,,,-97.197355,49.762615,Brady Road Landfill,,,Winnipeg,MANITOBA,MB,,Landfill,INDUSTRIAL,,,,45558,0,2012,Environment Canada,,1
SECARB,1004377,1.10E+11,562212,,-96.53586,33.29857,121 REGIONAL DISPOSAL FACILITY,,3820 SAM RAYBURN HIGHWAY,MELISSA,TEXAS,TX,,,WASTE MANAGEMENT,HH,Waste,,,,2013,U.S. EPA GHG Reporting Program,,2
MRCSP,1000112,1.10E+11,221112,,-74.0036013,40.65788823,23RD AND 3RD,,730 3RD AVENUE,BROOKLYN,NEW YORK,NY,,,ELECTRICITY,"C,D",Power Plants,,102495,,2013,U.S. EPA GHG Reporting Program,,3
SWP,1006394,1.10E+11,213112,,-107.4322052,36.63782285,29-6 #2 CENTRAL DELIVERY POINT,,,BLANCO,NEW MEXICO,NM,,,PETROLEUM/NATURAL GAS,C,Petroleum and Natural Gas Systems,,14561,,2013,U.S. EPA GHG Reporting Program,,4
SWP,1002885,1.10E+11,213112,,-107.9057914,36.89957186,30-5 CENTRAL DELIVERY POINT COMPRESSOR STATION,,,AZTEC,NEW MEXICO,NM,,,PETROLEUM/NATURAL GAS,C,Petroleum and Natural Gas Systems,,22307,,2013,U.S. EPA GHG Reporting Program,,5
SWP,1002707,1.10E+11,213112,,-107.9531933,36.34881778,31-6 CENTRAL DELIVERY POINT,,,BLOOMFIELD,NEW MEXICO,NM,,,PETROLEUM/NATURAL GAS,C,Petroleum and Natural Gas Systems,,68158,,2013,U.S. EPA GHG Reporting Program,,6
SWP,1002718,1.10E+11,213112,,-107.4322052,36.63782285,32-7 CENTRAL DELIVERY POINT,,,BLANCO,NEW MEXICO,NM,,,PETROLEUM/NATURAL GAS,C,Petroleum and Natural Gas Systems,,41708,,2013,U.S. EPA GHG Reporting Program,,7
SWP,1002721,1.10E+11,213112,,-107.4322052,36.63782285,32-8 #2 CDP COMPRESSOR STATION,,,BLANCO,NEW MEXICO,NM,,,PETROLEUM/NATURAL GAS,C,Petroleum and Natural Gas Systems,,45742,,2013,U.S. EPA GHG Reporting Program,,8
SWP,1003188,1.10E+11,326113,,-98.99652092,31.67118245,3M BROWNWOOD,,4501 HIGHWAY 377 SOUTH,BROWNWOOD,TEXAS,TX,,,INDUSTRIAL,"C,N",Minerals,,34786,,2013,U.S. EPA GHG Reporting Program,,9
PCOR,1005043,1.10E+11,541712,,-92.998326,44.955101,3M CO,,,MAPLEWOOD,MINNESOTA,MN,,,INDUSTRIAL,C,Other,,80252,,2013,U.S. EPA GHG Reporting Program,,10
SECARB,1003739,1.10E+11,326113,,-87.8998601,33.96672634,3M CO - GUIN,,6675 US HIGHWAY 43,GUIN,ALABAMA,AL,,,INDUSTRIAL,"C,N",Minerals,,32050,,2013,U.S. EPA GHG Reporting Program,,11
PCOR,1007698,1.10E+11,212313,,-89.636417,44.950755,3M CO - WAUSAU DOWNTOWN,,144 ROSECRANS ST,WAUSAU,WISCONSIN,WI,,,INDUSTRIAL,C,Other,,29399,,2013,U.S. EPA GHG Reporting Program,,12
SECARB,1004206,1.10E+11,325211,,-87.0437351,34.6434688,3M COMPANY,,1400 STATE DOCKS RD.,DECATUR,ALABAMA,AL,,,REFINERIES/CHEMICAL,"C,L,OO","Chemicals,Industrial Gas Suppliers",,54842,,2013,U.S. EPA GHG Reporting Program,,13
PCOR,1004836,1.10E+11,325998,,-92.9117,44.7894,3M COTTAGE GROVE CENTER - SITE,,10746 INNOVATION RD,COTTAGE GROVE,MINNESOTA,MN,,,INDUSTRIAL,"C,L,N,OO","Chemicals,Industrial Gas Suppliers,Minerals",,35132,2225,2013,U.S. EPA GHG Reporting Program,,14
SECARB,1003408,1.10E+11,212399,,-92.23889635,34.70861631,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,,3110 WALTERS DRIVE,LITTLE ROCK,ARKANSAS,AR,,,INDUSTRIAL,C,Other,,28050,,2013,U.S. EPA GHG Reporting Program,,15
PCOR,1004914,1.10E+11,322222,,-94.3611,44.88,3M MAGNETIC TAPE MANUFACTURING DIVISION,,905-915 ADAMS STREET SOUTHEAST,HUTCHINSON,MINNESOTA,MN,,,INDUSTRIAL,C,Pulp and Paper,,37069,,2013,U.S. EPA GHG Reporting Program,,16
PCOR,1004804,1.10E+11,326113,,-94.330315,37.834073,3M NEVADA PLANT,,2120 E. AUSTIN,NEVADA,MISSOURI,MO,,,INDUSTRIAL,C,Other,,29167,,2013,U.S. EPA GHG Reporting Program,,17
MRCSP,1007408,1.10E+11,212112,,-80.003141,39.755414,4 WEST MINE,,625 BALD HILL CHURCH ROAD,DILLINER,PENNSYLVANIA,PA,,,MINING,FF,Other,,0,,2013,U.S. EPA GHG Reporting Program,,18
MRCSP,1001106,1.10E+11,221112,,-86.08470524,42.7541081,48TH STREET PEAKING STATION,,491 E 48TH ST,HOLLAND,MICHIGAN,MI,,,ELECTRICITY,"C,D",Power Plants,,9649,,2013,U.S. EPA GHG Reporting Program,,19
SECARB,1004680,1.10E+11,562212,,-80.34587,25.8262,58TH ST LF (MAIN COUNTY LF),,8831 NW 58TH ST,MIAMI,FLORIDA,FL,,,WASTE MANAGEMENT,HH,Waste,,,,2013,U.S. EPA GHG Reporting Program,,20
MRCSP,1000766,1.10E+11,221330,,-73.9920433,40.77178492,59TH STREET,,850 12TH AVE,NEW YORK,NEW YORK,NY,,,UNCLASSIFIED,C,Power Plants,,206582,,2013,U.S. EPA GHG Reporting Program,,21
SECARB,1007733,1.10E+11,221320,,-95.3193399,29.7559222,69TH ST WWTP,,2525 SSGT MACARIO GARCIA DR,HOUSTON,TEXAS,TX,,,UNCLASSIFIED,C,Other,,26902,,2013,U.S. EPA GHG Reporting Program,,22
MRCSP,1000767,1.10E+11,221330,,-73.95141686,40.76799583,74TH STREET,,506 E 75TH ST,NEW YORK,NEW YORK,NY,,,UNCLASSIFIED,C,Power Plants,,225567,,2013,U.S. EPA GHG Reporting Program,,23
MRCSP,1005445,1.10E+11,336399,,-84.37582053,40.55381479,AAP ST MARYS CORP,,1100 MCKINLEY RD.,SAINT MARYS,OHIO,OH,,,INDUSTRIAL,C,Other,,30905,,2013,U.S. EPA GHG Reporting Program,,24
MRCSP,1006009,1.10E+11,335313,,-79.57725,40.17726,ABB INC.,,100 DISTRIBUTION CIRCLE,MT. PLEASANT,PENNSYLVANIA,PA,,,INDUSTRIAL,SS,Other,,,,2013,U.S. EPA GHG Reporting Program,,25
MRCSP,1002853,1.10E+11,311514,,-85.42600495,41.80950797,ABBOTT NUTRITION,,901 NORTH CENTERVILLE ROAD,STURGIS,MICHIGAN,MI,,,AG PROCESSING,C,Other,,21402,,2013,U.S. EPA GHG Reporting Program,,26
